"title","ratings","release","summary"
"Mirzapur","8.4","TV Series (2018– )","A shocking incident at a wedding procession ignites a series of events entangling the lives of two families in the lawless city of Mirzapur."
"Panchayat","8.7","TV Series (2020– )","A comedy-drama, which captures the journey of an engineering graduate Abhishek, who for lack of a better job option joins as secretary of a Panchayat office in a remote village of Uttar Pradesh."
